@relation ViewA_DF_200.arff-weka.filters.unsupervised.attribute.AddID-Cfirst-NID

@attribute ID numeric
@attribute ViewA_write numeric
@attribute ViewA_t numeric
@attribute ViewA_s numeric
@attribute ViewA_edu numeric
@attribute ViewA_articl numeric
@attribute ViewA_us numeric
@attribute ViewA_com numeric
@attribute ViewA_like numeric
@attribute ViewA_just numeric
@attribute ViewA_window numeric
@attribute ViewA_don numeric
@attribute ViewA_peopl numeric
@attribute ViewA_know numeric
@attribute ViewA_c numeric
@attribute ViewA_m numeric
@attribute ViewA_think numeric
@attribute ViewA_make numeric
@attribute ViewA_new numeric
@attribute ViewA_doe numeric
@attribute ViewA_sai numeric
@attribute ViewA_d numeric
@attribute ViewA_time numeric
@attribute ViewA_want numeric
@attribute ViewA_apr numeric
@attribute ViewA_work numeric
@attribute ViewA_wai numeric
@attribute ViewA_problem numeric
@attribute ViewA_right numeric
@attribute ViewA_look numeric
@attribute ViewA_thank numeric
@attribute ViewA_e numeric
@attribute ViewA_run numeric
@attribute ViewA_thing numeric
@attribute ViewA_file numeric
@attribute ViewA_need numeric
@attribute ViewA_ve numeric
@attribute ViewA_try numeric
@attribute ViewA_good numeric
@attribute ViewA_did numeric
@attribute ViewA_program numeric
@attribute ViewA_state numeric
@attribute ViewA_govern numeric
@attribute ViewA_come numeric
@attribute ViewA_realli numeric
@attribute ViewA_help numeric
@attribute ViewA_sure numeric
@attribute ViewA_post numeric
@attribute ViewA_mean numeric
@attribute ViewA_believ numeric
@attribute ViewA_differ numeric
@attribute ViewA_b numeric
@attribute ViewA_support numeric
@attribute ViewA_start numeric
@attribute ViewA_question numeric
@attribute ViewA_univers numeric
@attribute ViewA_point numeric
@attribute ViewA_opinion numeric
@attribute ViewA_person numeric
@attribute ViewA_let numeric
@attribute ViewA_tell numeric
@attribute ViewA_fact numeric
@attribute ViewA_set numeric
@attribute ViewA_read numeric
@attribute ViewA_year numeric
@attribute ViewA_go numeric
@attribute ViewA_number numeric
@attribute ViewA_case numeric
@attribute ViewA_got numeric
@attribute ViewA_doesn numeric
@attribute ViewA_said numeric
@attribute ViewA_reason numeric
@attribute ViewA_gener numeric
@attribute ViewA_ll numeric
@attribute ViewA_win numeric
@attribute ViewA_group numeric
@attribute ViewA_dai numeric
@attribute ViewA_do numeric
@attribute ViewA_chang numeric
@attribute ViewA_x numeric
@attribute ViewA_law numeric
@attribute ViewA_mail numeric
@attribute ViewA_includ numeric
@attribute ViewA_better numeric
@attribute ViewA_p numeric
@attribute ViewA_u numeric
@attribute ViewA_call numeric
@attribute ViewA_dos numeric
@attribute ViewA_place numeric
@attribute ViewA_lot numeric
@attribute ViewA_driver numeric
@attribute ViewA_follow numeric
@attribute ViewA_happen numeric
@attribute ViewA_live numeric
@attribute ViewA_world numeric
@attribute ViewA_respons numeric
@attribute ViewA_ms numeric
@attribute ViewA_didn numeric
@attribute ViewA_version numeric
@attribute ViewA_have numeric
@attribute ViewA_get numeric
@attribute ViewA_w numeric
@attribute ViewA_end numeric
@attribute ViewA_possibl numeric
@attribute ViewA_inform numeric
@attribute ViewA_consid numeric
@attribute ViewA_ca numeric
@attribute ViewA_probabl numeric
@attribute ViewA_talk numeric
@attribute ViewA_actual numeric
@attribute ViewA_word numeric
@attribute ViewA_ye numeric
@attribute ViewA_wrong numeric
@attribute ViewA_american numeric
@attribute ViewA_care numeric
@attribute ViewA_true numeric
@attribute ViewA_base numeric
@attribute ViewA_monei numeric
@attribute ViewA_idea numeric
@attribute ViewA_suggest numeric
@attribute ViewA_allow numeric
@attribute ViewA_issu numeric
@attribute ViewA_far numeric
@attribute ViewA_littl numeric
@attribute ViewA_real numeric
@attribute ViewA_long numeric
@attribute ViewA_nation numeric
@attribute ViewA_line numeric
@attribute ViewA_avail numeric
@attribute ViewA_v numeric
@attribute ViewA_manag numeric
@attribute ViewA_forc numeric
@attribute ViewA_isn numeric
@attribute ViewA_o numeric
@attribute ViewA_countri numeric
@attribute ViewA_kind numeric
@attribute ViewA_l numeric
@attribute ViewA_ask numeric
@attribute ViewA_card numeric
@attribute ViewA_interest numeric
@attribute ViewA_control numeric
@attribute ViewA_pai numeric
@attribute ViewA_abl numeric
@attribute ViewA_thought numeric
@attribute ViewA_hope numeric
@attribute ViewA_provid numeric
@attribute ViewA_free numeric
@attribute ViewA_report numeric
@attribute ViewA_r numeric
@attribute ViewA_internet numeric
@attribute ViewA_cs numeric
@attribute ViewA_public numeric
@attribute ViewA_caus numeric
@attribute ViewA_pc numeric
@attribute ViewA_claim numeric
@attribute ViewA_uunet numeric
@attribute ViewA_rememb numeric
@attribute ViewA_k numeric
@attribute ViewA_david numeric
@attribute ViewA_seen numeric
@attribute ViewA_quit numeric
@attribute ViewA_order numeric
@attribute ViewA_cours numeric
@attribute ViewA_result numeric
@attribute ViewA_h numeric
@attribute ViewA_note numeric
@attribute ViewA_life numeric
@attribute ViewA_major numeric
@attribute ViewA_requir numeric
@attribute ViewA_tri numeric
@attribute ViewA_heard numeric
@attribute ViewA_mayb numeric
@attribute ViewA_polit numeric
@attribute ViewA_creat numeric
@attribute ViewA_exampl numeric
@attribute ViewA_wrote numeric
@attribute ViewA_answer numeric
@attribute ViewA_microsoft numeric
@attribute ViewA_expect numeric
@attribute ViewA_great numeric
@attribute ViewA_access numeric
@attribute ViewA_best numeric
@attribute ViewA_applic numeric
@attribute ViewA_relat numeric
@attribute ViewA_clinton numeric
@attribute ViewA_machin numeric
@attribute ViewA_clayton numeric
@attribute ViewA_g numeric
@attribute ViewA_list numeric
@attribute ViewA_n numeric
@attribute ViewA_presid numeric
@attribute ViewA_non numeric
@attribute ViewA_larg numeric
@attribute ViewA_stop numeric
@attribute ViewA_bit numeric
@attribute ViewA_tax numeric
@attribute ViewA_servic numeric
@attribute ViewA_children numeric
@attribute ViewA_ac numeric
@attribute ViewA_high numeric
@attribute ViewA_recent numeric
@attribute class {positiveClass,negativeClass}

@data
1054,0.990233,1.590535,1.662766,0,0.637712,0,0.93777,0,1.089157,0,2.300864,4.601728,0,0,0,0,1.362578,0,0,0,0,0,2.965611,0,1.500584,0,0,3.238976,1.627093,0,1.69282,0,0,0,0,0,0,1.76902,0,0,0,0,0,0,0,0,0,0,3.917991,0,1.987774,0,0,0,0,0,2.017406,8.099813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.207275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.728921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.447611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.551046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.347298,0,2.680922,0,0,8.109188,2.703063,0,0,0,0,0,0,0,0,0,0,0,0,0,negativeClass
1954,0.495116,1.060357,2.217021,1.17038,1.275425,0,0.93777,0,0,0,0,1.150432,0,0,0,0,0,1.370421,0,0,1.467504,1.471852,1.482805,1.489435,0,1.594549,0,0,0,0,0,0,0,0,0,1.742969,0,1.76902,7.111426,0,1.814005,0,0,0,0,0,1.948413,0,0,0,0,0,0,0,0,0,0,0,0,0,2.059639,0,0,0,2.091514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.221005,2.225624,0,0,0,2.273026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.424753,0,0,0,2.447611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.089313,0,0,0,0,0,2.551046,0,0,0,0,0,0,0,0,0,0,2.61047,0,0,0,0,0,0,0,0,2.645075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.718101,0,0,0,0,0,0,0,0,negativeClass
1021,0.990233,0.530178,0,0,1.275425,0,4.688849,0,0,0,0,0,0,0,0,0,5.450311,0,2.825277,0,0,0,0,2.97887,0,0,1.606941,0,0,1.666008,0,0,1.703749,0,0,1.742969,0,1.76902,0,0,0,5.731629,0,0,0,1.944911,0,0,0,0,0,1.991431,0,1.9951,0,0,0,0,0,0,6.178917,0,0,0,0,2.091514,2.091514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.292635,0,0,0,0,0,0,0,0,0,0,0,0,2.385967,0,0,0,0,2.407946,0,0,0,0,4.872233,2.436116,0,4.895222,0,0,0,2.459239,0,2.459239,0,0,0,2.476938,0,0,2.488915,9.979828,0,0,0,0,0,0,0,0,7.539918,0,0,0,2.531998,15.229845,10.15323,0,2.538307,0,0,0,0,0,2.551046,2.551046,2.551046,0,0,2.557477,0,0,0,2.60369,0,0,0,0,0,0,0,0,0,0,5.276116,0,0,0,2.652143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.805641,0,0,5.466736,0,negativeClass
1110,0.495116,2.120713,1.662766,0,0,0,0.93777,0,0,0,2.300864,0,0,1.219086,0,0,1.362578,0,0,0,1.467504,1.471852,1.482805,0,0,1.594549,0,0,0,0,0,3.391081,1.703749,0,0,0,0,0,1.777857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.091514,0,0,0,2.103734,0,0,0,0,2.158485,0,0,0,0,0,0,0,0,0,2.221005,0,0,0,0,0,0,0,0,0,0,0,0,0,2.317699,0,0,0,0,2.375156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.459239,0,0,0,2.465104,0,0,4.977829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.570465,0,2.60369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.688248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negativeClass
1737,0.495116,1.060357,0,0.58519,0.637712,0.918794,0.93777,0,1.089157,0,1.150432,0,0,0,0,0,1.362578,1.370421,0,2.89634,1.467504,1.471852,0,0,1.500584,0,0,0,0,0,1.69282,0,0,0,0,0,0,0,1.777857,0,0,0,0,0,0,1.944911,0,1.948413,0,0,0,1.991431,0,0,0,0,0,0,0,0,0,0,0,2.091514,0,0,0,0,0,0,0,0,2.158485,0,0,0,0,0,0,0,2.207275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.317699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.872233,0,2.436116,0,0,2.453408,0,0,0,0,0,0,4.930208,0,0,0,0,2.494957,0,0,0,0,2.507152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.75299,0,0,0,0,0,0,0,0,0,0,13.628526,0,0,0,0,0,negativeClass
1904,0.495116,1.590535,0.554255,1.17038,0.637712,0,0,0,2.178314,0,2.300864,2.300864,0,1.219086,0,0,0,1.370421,0,0,0,0,0,0,0,1.594549,0,0,1.627093,0,0,0,0,0,0,0,0,1.76902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.013654,0,4.049907,0,0,2.059639,2.071473,0,0,0,0,0,0,0,0,0,0,0,0,0,2.184802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.385967,0,0,0,0,0,0,0,2.424753,2.424753,0,0,0,0,0,0,4.906816,0,0,0,0,0,0,0,0,2.488915,0,0,0,0,0,0,2.507152,0,0,0,0,0,0,2.525729,0,0,0,0,0,0,0,0,0,0,2.551046,0,0,0,0,0,0,0,0,2.60369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.718101,0,0,0,0,0,2.725705,0,0,0,negativeClass
1974,0.990233,2.120713,0,1.17038,0.637712,2.756382,1.87554,0,0,0,0,0,0,1.219086,0,2.709591,0,0,0,0,0,0,1.482805,0,0,0,0,4.858465,0,0,0,0,1.703749,0,1.734434,0,0,0,0,0,0,3.821086,0,1.924149,0,0,3.896827,5.84524,5.876986,1.969691,0,1.991431,0,0,0,0,0,0,0,0,0,0,0,0,2.091514,0,0,0,0,0,0,0,0,0,4.360735,0,0,0,0,0,0,0,0,4.44201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.459239,2.459239,0,0,0,0,0,0,0,0,2.501036,2.501036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.538307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.688248,0,5.406125,0,0,0,0,0,0,0,0,0,0,0,0,0,negativeClass
1566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negativeClass
1431,0.990233,0,0,0,1.275425,0,4.688849,1.025827,1.089157,0,0,3.451296,1.187444,0,0,0,2.725156,0,0,0,0,1.471852,0,1.489435,0,0,0,0,0,0,1.69282,0,0,0,0,0,0,0,1.777857,0,1.814005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.017406,0,0,2.055725,0,0,0,6.274542,0,0,2.091514,0,0,0,0,0,0,0,0,0,0,0,0,2.207275,0,0,0,0,0,0,0,0,4.546053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.396896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.538307,0,0,0,0,0,0,0,0,2.551046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.666429,0,0,0,2.680922,0,0,10.812251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negativeClass
1486,0,0.530178,2.771276,0,0,0.918794,0,0,0,0,0,0,0,1.219086,2.542363,0,0,0,0,0,0,0,0,0,0,0,1.606941,0,0,0,3.385639,0,0,0,0,0,0,0,0,1.804845,10.88403,0,0,0,0,0,0,0,0,0,5.963323,0,0,0,20.061911,0,0,0,0,0,0,0,2.08345,0,0,0,0,0,0,0,0,2.154165,0,0,4.360735,0,0,2.198225,0,0,0,2.211831,0,4.44201,6.676872,2.230264,0,0,0,0,4.58527,0,2.302585,4.615195,2.307598,0,0,0,0,0,7.093381,0,0,0,0,0,0,0,0,0,0,0,7.274258,2.436116,0,4.872233,0,0,2.453408,0,0,0,0,0,0,27.116144,0,0,2.488915,2.488915,2.494957,0,0,2.501036,0,2.507152,0,0,0,0,0,0,0,0,0,0,0,5.076615,0,0,0,2.544657,0,0,0,0,0,7.672432,0,0,0,0,0,5.20738,0,0,2.61047,2.617296,0,0,0,2.631089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.710553,0,5.436201,0,0,2.725705,0,2.725705,13.628526,0,0,0,5.466736,negativeClass
